"https://vcloud.hudl.com/file/broadcast/3501843.m3u8?hfr=1 - Montpelier at Paulding | 2025-26 Boys Basketball | MySports.Live - Jan 24, 2026",

        "https://vcloud.hudl.com/file/broadcast/3501832.m3u8?hfr=1 - Edgerton at Paulding | 2025-26 Boys Basketball | MySports.Live - Jan 23, 2026",

        "https://vcloud.hudl.com/file/broadcast/3460023.m3u8?hfr=1 - Ayersville at Paulding | 2025-26 Girls Basketball | MySports.Live - Jan 15, 2026",

        "https://vcloud.hudl.com/file/broadcast/3460013.m3u8?hfr=1 - Edon at Paulding | 2025-26 Girls Basketball | MySports.Live - Jan 12, 2026",

        "https://vcloud.hudl.com/file/broadcast/3415858.m3u8?hfr=1 - Bluffton at Paulding | 2025-26 Girls Basketball | MySports.Live - Jan 10, 2026",

        "https://vcloud.hudl.com/file/broadcast/3415857.m3u8?hfr=1 - Antwerp at Paulding | 2025-26 Boys Basketball | MySports.Live - Jan 9, 2026",

        "https://vcloud.hudl.com/file/broadcast/3415855.m3u8?hfr=1 - Paulding at Antwerp | 2025-26 Girls Basketball | MySports.Live - Jan 8, 2026",

        "https://vcloud.hudl.com/file/broadcast/3415853.m3u8?hfr=1 - Crestview at Paulding | 2025-26 Girls Basketball | MySports.Live - Jan 6, 2026",

        "https://vcloud.hudl.com/file/broadcast/3415852.m3u8?hfr=1 - Edon at Paulding | 2025-26 Boys Basketball | MySports.Live - Jan 5, 2026",

        "https://vcloud.hudl.com/file/broadcast/3381675.m3u8?hfr=1 - Delphos Jefferson at Paulding | 2025-26 Girls Basketball | MySports.Live - Dec 29, 2025",
        
        "https://d2s0txx1aqnj4f.cloudfront.net/playOnPoly/6608373dfcf573738f0b7963/venue_hls/hd_hls/hd_hls.m3u8 - Paulding at Miller City | 2025-26 Boys Basketball | NFHS - Saturday, Dec 27, 2025",

        "https://vcloud.hudl.com/file/broadcast/3334837.m3u8?hfr=1 - North Central at Paulding | 2025-26 Boys Basketball | MySports.Live - Dec 22, 2025",

        "https://vcloud.hudl.com/file/broadcast/3334828.m3u8?hfr=1 - Ottoville at Paulding | 2025-26 Boys Basketball | MySports.Live - Dec 20, 2025",

        "https://vcloud.hudl.com/file/broadcast/3334821.m3u8?hfr=1 - Holgate at Paulding | 2025-26 Girls Basketball | MySports.Live - Dec 20, 2025",

        "https://vcloud.hudl.com/file/broadcast/3334813.m3u8?hfr=1 - Paulding at Wayne Trace | 2025-26 Boys Basketball | MySports.Live - Dec 19, 2025",

        "https://vcloud.hudl.com/file/broadcast/3334795.m3u8?hfr=1 - Wayne Trace at Paulding | 2025-26 Girls Basketball | MySports.Live - Dec 18, 2025",

        "https://vcloud.hudl.com/file/broadcast/3334785.m3u8?hfr=1 - Continental at Paulding | 2025-26 Boys Basketball | MySports.Live - Dec 16, 2025",

        "https://vcloud.hudl.com/file/broadcast/3248159.m3u8?hfr=1 - Stryker at Paulding | 2025-26 Boys Basketball | MySports.Live - Dec 13, 2025",

        "https://vcloud.hudl.com/file/broadcast/3248127.m3u8?hfr=1 - Montpelier at Paulding | 2025-26 Girls Basketball | MySports.Live - Dec 13, 2025",

        "https://vcloud.hudl.com/file/broadcast/3142985.m3u8?hfr=1 - Liberty Center at Paulding | 2025-26 Girls Basketball | MySports.Live - Nov 25, 2025",

        "https://vcloud.hudl.com/file/broadcast/3072276.m3u8?hfr=1 - Carey at Paulding | 2025 Football | MySports.Live - Nov 14, 2025",

        "https://vcloud.hudl.com/file/broadcast/3022549.m3u8?hfr=1 - Fairview at Paulding | 2025 Football | MySports.Live - Nov 07, 2025",

        "https://vcloud.hudl.com/file/broadcast/2759921.m3u8?hfr=1 - Antwerp at Paulding | 2025 Football | MySports.Live - Oct 24, 2025",

        "https://vcloud.hudl.com/file/broadcast/2759869.m3u8?hfr=1 - Hicksville at Paulding | 2025 Football | MySports.Live - Oct 10, 2025",

        "https://vcloud.hudl.com/file/broadcast/2759859.m3u8?hfr=1 - Paulding at Antwerp | 2025 Volleyball | MySports.Live - Oct 09, 2025",

        "https://vcloud.hudl.com/file/broadcast/2759849.m3u8?hfr=1 - Continental at Paulding | 2025 Volleyball | MySports.Live - Oct 06, 2025",

        "https://vcloud.hudl.com/file/broadcast/2759841.m3u8?hfr=1 - Ottoville at Paulding | 2025 Volleyball | MySports.Live - Oct 02, 2025",

        "https://vcloud.hudl.com/file/broadcast/2759798.m3u8?hfr=1 - Fairview at Paulding | 2025 Football | MySports.Live - Sep 26, 2025",

        "https://vcloud.hudl.com/file/broadcast/2759572.m3u8?hfr=1 - Ayersville at Paulding | 2025 Football | MySports.Live - Sep 19, 2025",

        "https://vcloud.hudl.com/file/broadcast/2674590.m3u8?hfr=1 - Paulding at Wayne Trace | 2025 Football | MySports.Live - Sep 12, 2025",

